cik,status,text
C1457,0,overthecounter bulletin board another quotation system exchange ostex would qualify ostex common stock delisted delisting could material adverse effect trading price liquidity stock shareholders ability sell shares ostex stock would severely limited among things listed nasdaq national market nasdaq smallcap market ostex common stock may constitute penny stock would place increased regulatory burdens brokers making less likely make market ostex stock loss ostex nasdaq national market status could also make difficult ostex raise capital would also complicate compliance state blue sky laws
C1495,1,nasdaq rather nasdaq listing rules calendar days date stockholders equity notice submit nasdaq plan regain compliance plan accepted nasdaq may grant extension calendar days date stockholders equity notice us evidence compliance submit plan nasdaq determine whether accept plan considering criteria likelihood plan result compliance nasdaqs continued listing criteria past compliance history reasons current noncompliance corporate events may occur within review period overall financial condition public disclosures nasdaq accept plan opportunity appeal decision hearings panel delisted cannot obtain listing another major market exchange stocks liquidity would suffer would likely experience reduced investor interest factors may result decrease stocks trading price delisting may also restrict us issuing additional securities securing financing
C1597,0, pink sheets high low first quarter second quarter third quarter fourth quarter
C1617,0, established equity compensation plan submitted vote securities holders therefore terminated options issued plan terminated fourth quarter fiscal endorsement agreement exchange amended exemption registration since issue single person
C1618,0,necessary debt financing consummate proposed merger potential bidders may make competitive responses proposed merger legislative regulatory economic developments may impact ability consummate proposed merger gca certain lawsuits filed challenging merger could result merger completed delay completion merger give assurance merger consummated case would realize anticipated benefits completed merger may adversely affect us september incurred approximately million costs due mergerrelated activities gca resulted significant decrease operating income addition certain circumstances may required pay termination fee million merger consummated merger gca pending subject business uncertainties contractual restrictions could disrupt business experienced whether pending merger gca completed may continue experience disruption current plans operations due pending merger could adverse effect business financial results employees key personnel may uncertainties effect pending merger uncertainties may impact ability retain recruit hire key personnel merger pending consummated date incurred continue incur significant costs expenses fees professional services transaction costs connection proposed merger gca fees costs payable us whether proposed merger consummated furthermore cannot predict suppliers customers view react proposed merger may hesitant business us light uncertainties ability perform due proposed acquisition us gca unable reassure customers suppliers continue transacting business us whether proposed merger consummated financial results may adversely affected terms merger agreement required operate business ordinary course also subject certain restrictions conduct business prior consummation proposed merger without consent gca including among things certain restrictions ability make certain capital expenditures investments acquisitions sell transfer dispose assets enter certain contracts customers amend organizational documents incur indebtedness restrictions could place extended period time consummation merger delayed could prevent us pursuing otherwise attractive business opportunities
C1618,0,various additional risks business including among others distraction management team associated expenses similar described connection proposed merger ability consummate alternative transaction valuation assigned business alternative transaction ability potential buyers ability access capital acceptable terms variables may adversely affect operations state state oklahoma operate ability operate jurisdiction may revoked suspended conditioned gaming regulators also material gaming taxes fees could change standards regulations manner negatively affects us government agency governmental agency court also addition suspension revocation nonrenewal limitation licenses would material adverse effect business operations financial condition results operations ability maintain key employees gaming authorities may deny limit condition suspend revoke gaming license related approval violations applicable gaming laws regulations may impose substantial fines take actions one could significant adverse effect business financial condition results operations changes existing gaming laws regulations new interpretations existing gaming laws may hinder prevent us continuing operate jurisdictions currently business would harm operating results particular enactment unfavorable legislation government efforts affecting directed manufacturers gaming operators referendums increase gaming taxes requirements use local distributors would likely negative impact operations moreover addition risk enforcement action also risk loss business reputation event potential legal regulatory investigation whether ultimately accused found committed violation addition gaming regulations also subject various federal state local foreign laws regulations affecting businesses general laws regulations could change interpreted differently future new laws regulations could enacted could affect financial performance expand product offering new market segments jurisdictions failure adequately manage expansion may limit existing operations negative impact ability grow could materially adverse business prospects new licenses permits approvals including thirdparty certifications games comply
C1618,0,injunction defendants completing merger certain conditions met iii rescission merger andor iv resultant damages costs christopher coffman v multimedia games holding company inc et al purported individual class action shareholder derivative suit filed october united states district court western district texas austin district company members companys board directors gca merger sub relating merger agreement suit alleges individual defendants breached fiduciary duties connection merger entities aided abetted individual defendants alleged breaches fiduciary duty suit seeks declaration action declared class action plaintiff certified class representative ii injunction defendants completing merger certain conditions met iii rescission merger andor iv resultant damages costs jose maciel v multimedia games holding company inc et al purported individual class action suit filed october united states district court western district texas austin district company members companys board directors gca merger sub relating merger suit alleges individual defendants breached fiduciary duties connection merger entities aided abetted individual defendants alleged breaches fiduciary duty suit seeks declaration action declared class action plaintiff certified class representative ii injunction defendants completing merger certain conditions met iii rescission merger andor iv resultant damages costs november mr maciel filed notice voluntary dismissal parties filed agreed motion consolidate remaining federal cases relating merger agreement greggory lewis v global cash access holdings inc et al dgn purported shareholder class derivative action brought behalf company purported class action suit brought behalf similarly situated shareholders company filed october district court travis county texas st judicial district gca merger sub members companys board directors company included nominal party relating merger agreement suit alleges individual defendants breached
C1697,1, july april december october market price high low fiscal quarter ended without prior express written consent holders notes representing less majority aggregate principal amount notes outstanding
C1700,0, closing sell equity securities fiscal year ended september registered securities act amended november netopias common stock increased value approximately announced signed definitive merger agreement motorola acquire outstanding shares netopia per share cash event merger completed could negative impact upon stock price operations developments relationships customers distributors suppliers losses major customers major projects major customers failure complete significant licensing transactions table contents
C1717,0, addition pursuant terms merger agreement described item recent developments declaration payment dividends suspended pending closing merger agreement
C1745,0, nyse january board directors declared quarterly dividend per share payable april stockholders record close business march whether pending merger henkel completed
C1751,1,purpose condition failure satisfy condition could result delisting common stock without right hearing march provided
C1790,1, trading ceased since march filing chapter cases
C1823,1, retroactively adjusted reflect reverse stock split sp apparel retail index january january january january table contents
C1833,0, approved shareholders share repurchase program reauthorized
C1902,0, january companys board directors increased value companys buyback program million total value billion
C1944,0, quarterly board declared dividend per share payable april stockholders record close business march
C1948,0, since november november october quoted fiscal quarters indicated giving retroactive effect october share reverse stock split however number shares held street name
C1964,1, threefortwo price range common stock year ended december fourth quarter third quarter second quarter year ended december fourth quarter third quarter periodic basis table contents djapi sales unregistered securities information regarding sale unregistered shares securities see item business item financial statements supplementary data note earnings loss per share note subsequent events
C1973,0, september companys common stock ceased trading nasdaq effective september upon completion goingprivate merger fiscal amount exceed quarterly estimated income tax payments required made shareholder
C2021,0,stock espp pursuant evergreen provisions espp file registration statement covering additional shares december board directors terminated espp last sales occurred espp june consequence failure register qualify sales common stock espp certain espp participants may right rescind purchases espp prior june may right recover damages us others related unregistered nonqualified sale espp shares governmental regulatory authorities may seek penalties sanctions us respect failure register qualify espp sales failure timely disclose failure register qualify espp shares
C2083,1, february february nasdaq stock market llc suspended trading companys common stock following commencement chapter cases delisted common stock effective march companys common stock traded otcqb market place otc market groups february symbol schsq june effective date reorganization plan common stock held shareholders canceled june effective date reorganization plan june record holders new common stock reorganized company issued pursuant reorganization plan copyright russel investment group roghts reserved
C2133,0, effective february due low trading volumes stock ceased quoted otcbb currently quoted otcqb second three tiers otc market group consultants
C2196,1, otcqb formerly pink sheets symbol wgatpk common stock quoted trading volume securities fluctuates may limited certain periods result volume fluctuations liquidity investment securities may adversely affected
C2352,0, november notified november nyse mkt instituted trading halt common stock pending receipt information result allegations contained various shortseller publications issued november subsequently received information request nyse mkt april received notice nyse mkt staff nyse mkt intends strike common stock listing appealed staffs determination regard exchange listing qualifications panel hearing review staffs decision scheduled july nov form qa
C2429,0, began trading prplpk nasdaq capital market november quarterperiod ended otc b b fourth quarter fiscal
C2479,0,american stock exchange five days would default senior notes sold company december principal amount million company initiated discussions seek waiver default holders notes however assurance able obtain waiver favorable terms company unable obtain waiver would default notes would unable repay notes without raising additional capital ability continue going concern would significant doubt
C2539,0, overthecounter bulletin board quarterly high low closing sale prices reported nasdaq applicable subject approval stockholders fiscal
C2542,0, high low first quarter second quarter third quarter fourth quarter high low first quarter january march table contents
C2624,0,shares allows pay income tax initial grant instead paying tax stock vests company originally used section b assigned value per share total recognized entire associated expense year ended september subsequently determined appropriate fair value shares stock award included multiple vesting dates covered multiyear service periods part restatement described note shares revalued september grant date fair value price total effective december mr tetzlaff resigned company mr tetzlaff entered separation agreement release claims accordance terms agreement mr tetzlaff settled shares vested october forfeited unvested shares cumulative compensation expense related mr tetzlaffs unvested shares reversed three months ended december effective december daniel thralow resigned member companys board directors accordingly mr thralow forfeited unvested shares cumulative compensation expense related unvested shares reversed three months ended december fourth quarter granted shares stock effective december
C2626,0, otc bulletin board symbol dovpob following table sets forth high low sales prices common stock quoted high low nine
C2659,1, trades overthecounter symbol ctdb companys common stock delisted nyse march company fallen nyses continued listing criteria companys common stock trades overthecounter may viewed less favorably investors could make trading companys common stock difficult investors could make difficult company raise additional capital million million respectively
C2669,0, high low st quarter nd quarter rd quarter th quarter including directors management
C2750,0, tel aviv stock exchange october board directors approved subsequent month extension stock repurchase plan
C2846,0, dividends october board directors approved special cash additional
C2919,0, companys common stock excluding options terminated forfeited due termination employment
C3053,0, close price adjusted dividends splits march effected common stock split shareholders record february
C3067,0, given current market conditions declare dividend fourth quarter
C3115,0, high low fourth quarter third quarter second quarter first quarter
C190,1, high low high low st quarter nd quarter rd quarter th quarter
C293,1,march cessation government business focus cybersecurity business may able complete divestitures acceptable terms timely basis sales could materially adversely affect future revenues furthermore lenders security interests substantially assets sales would therefore require lenders consent unlikely generate direct benefits stockholders could materially impair ability maintain current operations historically generated substantial losses continued could make difficult fund operations successfully execute business plan could adversely affect stock price since inception generated net losses fiscal periods experienced net loss approximately million fiscal provide assurance able achieve sustain profitability future addition significant expenses fixed difficult change rapidly generally unable reduce expenses significantly shortterm compensate unexpected delay decrease anticipated revenues dependent support subcontractors meet operating plans susceptible losses support delayed withheld factors could cause us continue experience net losses future periods would make difficult fund operations execute business plan could cause market price common stock decline currently audit final indirect rates fiscal years related legacy government businesses currently audit defense contract audit agency dcaa final indirect rate submissions fiscal years believe indirect costs properly recorded outstanding audit years outcome outstanding audits results unfavorable adjustments could material adverse effect results operation cash flow result discontinuation government thermal imaging businesses dependent cybersecurity business unable commercialize technology may able generate increase revenues achieve sustain profitability result discontinuance government thermal imaging businesses dependent cyber security business future revenue growth assurances given cyber security business successful successful derive sufficient revenue generate positive cash flow operations prior years made significant investments commercialize technologies without significant success furthermore majority historical total revenues generated directly indirectly us government customers ability
C405,1,canadian monitor uk administrators third parties cannot provide assurance net cash requirements currently expect sufficient successful development approval implementation plans conclusion creditor protection proceedings assurance required court approvals future company transactions obtained furthermore assurance able continue maintain ongoing deployment cash resources throughout company connection ordinary course intercompany trade obligations subsidiaries unable pay dividends provide us loans forms financing sufficient amounts restrictions transfer cash us subsidiaries including imposed courts foreign governments commercial limitations transfers cash pursuant joint ventures commitments cash positions canadian debtors would likely great pressure liquidity ability meet obligations would adversely affected must continue pursue cost reductions business assumptions underlying efforts may prove inaccurate may able successfully develop obtain requisite approvals implement plans conclusion creditor protection proceedings failure obtain requisite approvals failure successfully develop implement plans conclusion creditor protection proceedings within time granted courts would likelihood lead liquidation assets pursuant ongoing creditor protection proceedings working developing plans conclusion creditor protection proceedings various jurisdictions initiated proceedings order successfully complete process senior management required spend significant amounts time developing plans conclusion creditor protection proceedings instead focusing exclusively business operations connection transformation business made continue make judgments whether reduce relocate otherwise change workforce costs incurred connection workforce reduction efforts may higher estimated furthermore workforce efforts may impair ability achieve current future business objectives workforce efforts including reductions may occur expected timetable may result recording additional charges made continue make judgments whether limit investment exit dispose certain businesses continue pursue sale remaining assets time exploring options event cannot maximize value sales assets businesses creditor protection proceedings development plans conclusion
C405,1,likelihood magnitude duration continue experience significant pressure remaining business deterioration cash liquidity customers across businesses particular north america respond current macroeconomic industry conditions uncertainty suspending delaying reducing capital expenditures continued volatility financial foreign exchange equity credit markets globally compounded situation sustained economic downturn expect continue experience significant pressure number fronts seeing impact business result table contents uncertainties caused creditor protection proceedings impact events us going forward depend number factors including recession impacting us canadian global economies duration severity events whether recovery period brief prolonged result may face new risks yet unidentified number risks ordinarily face disclosed managements discussion analysis financial condition results operations section report may increase likelihood magnitude duration include limited deferrals reductions customer orders potential deterioration customers ability pay obtain financing losses impairment charges reduced revenue deterioration cash balances liquidity due foreign exchange impacts increased pension funding obligations inability move funds different jurisdictions access capital markets additional sources funding financial crisis economic downturn continue affect us creditor protection proceedings many circumstances difficult us distinguish certainty impact various factors individually collectively business factors adversely impacting ability accurately forecast performance results cash position may materially adversely affected continued cautious capital spending including result current economic uncertainties change technology focus customers particularly certain key customers continued cautiousness capital spending service providers customers may affect revenues operating results currently expect may require us adjust current business model focused larger customers certain markets provide substantial portion revenues margin reduced spending loss reduction delay business one customers significant change technology focus failure achieve significant market share customers could require us
C405,1,deterioration cash balances liquidity due foreign exchange impacts increased pension funding obligations inability move funds different jurisdictions access capital markets additional sources funding financial crisis economic downturn continue affect us creditor protection proceedings many circumstances difficult us distinguish certainty impact various factors individually collectively business factors adversely impacting ability accurately forecast performance results cash position may materially adversely affected continued cautious capital spending including result current economic uncertainties change technology focus customers particularly certain key customers continued cautiousness capital spending service providers customers may affect revenues operating results currently expect may require us adjust current business model focused larger customers certain markets provide substantial portion revenues margin reduced spending loss reduction delay business one customers significant change technology focus failure achieve significant market share customers could require us reduce capital expenditures result material adverse effect future cannot operate within scope laws requirements could continued reduce number size facilities principally part cost reduction efforts creditor protection proceedings fully disposing million square feet operating space eliminating direct liability respect space landlord claims creditor protection proceedings addition subleased licensed million square feet ericsson avaya part divestitures parties sold calgary facility cad expansion lands ottawa continue assess facilities considering rejecting repudiating terminating certain leases longer required divested businesses residual nortel organizations selling nortelowned sites believe facilities retain suitable adequate sufficient meet current needs complete remaining work creditor protection proceedings sites cala inc filed voluntary petition relief chapter us court became party chapter proceedings generally result actions enforce otherwise effect payment repayment liabilities debtor preceding petition date well pending litigation debtor
C405,1,senior officers terminated cause rcmp charges former executives june royal canadian mounted police rcmp announced filed criminal charges three former executives frank dunn douglas beatty table contents michael gollogly fraudrelated charges include fraud affecting public market falsification books documents false prospectus charges pertain allegations criminal activity within nortel former executives criminal charges filed us
C1382,1,us safe reliable lowfare airline focused customer service providing high quality travel experience similarly believe customer awareness brand contributed ability leverage brand preference marketing efforts positions us preferred marketing partner companies across many different industries strong company culture continue focus differentiating product service provide passengers frequent flyer program offers generous benefits industry including free roundtrip award ticket within contiguous us accumulating miles miles costa rica miles alaska destinations mexico believe friendly dedicated employees affordable pricing accommodating service inflight entertainment systems comfortable airplanes distinguish product service competitors safety primary concern proud maintenance staff awarded faa diamond award excellence ten straight years award recognizes commitment ongoing training education maintenance staff operations review year rankings compilation dot statistics include industry overview us domestic airline industry negatively impacted record high fuel prices past year fuel prices increased airline industry unable raise average fares enough offset rising costs price fuel per gallon fiscal year ended march increased period reached new record high barrel per gallon systemwide average purchase price including plane cost taxes storage july since record high crude oil fell barrel december lowest level since end oil prices continue volatile impacted concerns economy global demand including recent price increases due increased demand china oil recently trading range barrel may weekly average current price fuel per gallon per gallon including plane costs taxes storage domestic airlines responded record fuel costs mid recent economic downturn reducing capacity grounding airplanes furloughing andor reducing workforce raising ticket prices imposing additional fees based airlines schedule filings may anticipate overall domestic airline capacity fall reduced year
